survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size
0,2,male,0.32906373894480023,1,0,0.014151057562208049,S,Third,man,True,Unknown,Southampton,no,False,2
1,0,female,0.5730405611466911,1,0,0.13913573538264068,C,First,woman,False,C,Cherbourg,yes,False,2
1,2,female,0.3900579444952729,0,0,0.015468569817999833,S,Third,woman,False,Unknown,Southampton,yes,True,1
1,0,female,0.5272949069838365,1,0,0.10364429745562033,S,First,woman,False,C,Southampton,yes,False,2
0,2,male,0.5272949069838365,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,0,0,0.01650950209357577,Q,Third,man,True,Unknown,Queenstown,no,True,1
0,0,male,0.8170173833485819,0,0,0.10122885832000206,S,First,man,True,E,Southampton,no,True,1
0,2,male,0.02409271119243672,3,1,0.04113566043083236,S,Third,child,False,Unknown,Southampton,no,False,5
1,2,female,0.4053064958828911,0,2,0.021730754366528396,S,Third,woman,False,Unknown,Southampton,yes,False,3
1,1,female,0.20707532784385485,1,0,0.058694292654020104,C,Second,child,False,Unknown,Cherbourg,yes,False,2
1,2,female,0.05458981396767307,1,1,0.03259622914329302,S,Third,child,False,G,Southampton,yes,False,3
1,0,female,0.8780115888990546,0,0,0.051822148727810165,S,First,woman,False,C,Southampton,yes,True,1
0,2,male,0.29856663616956386,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.5882891125343093,1,5,0.06104473451835265,S,Third,man,True,Unknown,Southampton,no,False,7
0,2,female,0.20707532784385485,0,0,0.015330377421392339,S,Third,child,False,Unknown,Southampton,no,True,1
1,1,female,0.8322659347362001,0,0,0.03122992013728673,S,Second,woman,False,Unknown,Southampton,yes,True,1
0,2,male,0.02409271119243672,4,1,0.05684821399990475,Q,Third,child,False,Unknown,Queenstown,no,False,6
1,1,male,0.4205550472705093,0,0,0.025374310111545468,S,Second,man,True,Unknown,Southampton,yes,True,1
0,2,female,0.46630070143336383,1,0,0.03513366015444757,S,Third,woman,False,Unknown,Southampton,no,False,2
1,2,female,0.4205550472705093,0,0,0.014102260811993537,C,Third,woman,False,Unknown,Cherbourg,yes,True,1
0,1,male,0.5272949069838365,0,0,0.050748620223090936,S,Second,man,True,Unknown,Southampton,no,True,1
1,1,male,0.5120463555962184,0,0,0.025374310111545468,S,Second,man,True,D,Southampton,yes,True,1
1,2,female,0.222323879231473,0,0,0.015671954672893913,Q,Third,child,False,Unknown,Queenstown,yes,True,1
1,0,male,0.4205550472705093,0,0,0.06929138530460494,S,First,man,True,A,Southampton,yes,True,1
0,2,female,0.11558401951814577,3,1,0.04113566043083236,S,Third,child,False,Unknown,Southampton,no,False,5
1,2,female,0.5730405611466911,1,5,0.06126431989431795,S,Third,woman,False,Unknown,Southampton,yes,False,7
0,2,male,0.4205550472705093,0,0,0.014102260811993537,C,Third,man,True,Unknown,Cherbourg,no,True,1
0,0,male,0.2833180847819457,3,2,0.5133418122566507,S,First,man,True,C,Southampton,no,False,6
1,2,female,0.4205550472705093,0,0,0.01537917417160685,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,2,male,0.4205550472705093,0,0,0.015411575213749286,S,Third,man,True,Unknown,Southampton,no,True,1
0,0,male,0.6035376639219274,0,0,0.05410739813385612,C,First,man,True,Unknown,Cherbourg,no,True,1
1,0,female,0.4205550472705093,1,0,0.2859895551532101,C,First,woman,False,B,Cherbourg,yes,False,2
1,2,female,0.4205550472705093,0,0,0.015126992566498259,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,1,male,1.0,0,0,0.020494635090094415,S,Second,man,True,Unknown,Southampton,no,True,1
0,0,male,0.4205550472705093,1,0,0.16038672010106003,C,First,man,True,Unknown,Cherbourg,no,False,2
0,0,male,0.6340347666971639,1,0,0.10149724044618187,S,First,man,True,Unknown,Southampton,no,False,2
1,2,male,0.4205550472705093,0,0,0.014110458666029575,C,Third,man,True,Unknown,Cherbourg,yes,True,1
0,2,male,0.3138151875571821,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,female,0.26806953339432754,2,0,0.03513366015444757,S,Third,woman,False,Unknown,Southampton,no,False,3
1,2,female,0.20707532784385485,1,0,0.021942337075458514,C,Third,child,False,Unknown,Cherbourg,yes,False,2
0,2,female,0.6035376639219274,1,0,0.018493968331299484,S,Third,woman,False,Unknown,Southampton,no,False,2
0,1,female,0.4053064958828911,1,0,0.04098927018018883,S,Second,woman,False,Unknown,Southampton,no,False,2
0,2,male,0.4205550472705093,0,0,0.015411575213749286,C,Third,man,True,Unknown,Cherbourg,no,True,1
1,1,female,0.039341262580054895,1,2,0.08115719346076702,C,Second,child,False,Unknown,Cherbourg,yes,False,4
1,2,female,0.2833180847819457,0,0,0.01537917417160685,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,2,male,0.4205550472705093,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,1,0,0.030253985132996517,Q,Third,man,True,Unknown,Queenstown,no,False,2
1,2,female,0.4205550472705093,0,0,0.015126992566498259,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,2,male,0.4205550472705093,2,0,0.04231498029001666,C,Third,man,True,Unknown,Cherbourg,no,False,3
0,2,female,0.26806953339432754,1,0,0.034743286152731485,S,Third,woman,False,Unknown,Southampton,no,False,2
0,2,male,0.1003354681305276,4,1,0.07746484096553544,S,Third,child,False,Unknown,Southampton,no,False,6
0,2,male,0.3138151875571821,0,0,0.01522458606692728,S,Third,man,True,Unknown,Southampton,no,True,1
1,0,female,0.7407746264104911,1,0,0.1497654242623688,C,First,woman,False,D,Cherbourg,yes,False,2
1,1,female,0.43580359865812746,1,0,0.050748620223090936,S,Second,woman,False,Unknown,Southampton,yes,False,2
0,0,male,0.9847514486123818,0,1,0.1209753416358076,C,First,man,True,B,Cherbourg,no,False,2
1,0,male,0.4205550472705093,0,0,0.06929138530460494,S,First,man,True,C,Southampton,yes,True,1
1,1,female,0.3138151875571821,0,0,0.020494635090094415,S,Second,woman,False,Unknown,Southampton,yes,True,1
0,2,male,0.4281793229643184,0,0,0.014110458666029575,C,Third,man,True,Unknown,Cherbourg,no,True,1
1,1,female,0.06983836535529124,1,2,0.05416439273810667,S,Second,child,False,Unknown,Southampton,yes,False,4
0,2,male,0.16132967368100032,5,2,0.09154270340242172,S,Third,child,False,Unknown,Southampton,no,False,8
0,2,male,0.32906373894480023,0,0,0.014110458666029575,C,Third,man,True,Unknown,Cherbourg,no,True,1
1,0,female,0.5730405611466911,0,0,0.15614960068643363,S,First,woman,False,B,,yes,True,1
0,0,male,0.6797804208600183,1,0,0.16293234896625058,S,First,man,True,C,Southampton,no,False,2
0,2,male,0.05458981396767307,3,2,0.05445717323939373,S,Third,child,False,Unknown,Southampton,no,False,6
0,0,male,0.4205550472705093,0,0,0.05410739813385612,C,First,man,True,Unknown,Cherbourg,no,True,1
1,2,male,0.4205550472705093,1,1,0.029757819776815374,C,Third,man,True,Unknown,Cherbourg,yes,False,3
1,1,female,0.43580359865812746,0,0,0.020494635090094415,S,Second,woman,False,F,Southampton,yes,True,1
0,2,male,0.2833180847819457,0,0,0.015923941091001644,S,Third,man,True,Unknown,Southampton,no,True,1
1,2,female,0.2528209820067093,4,2,0.015468569817999833,S,Third,woman,False,Unknown,Southampton,yes,False,7
0,2,male,0.3900579444952729,2,0,0.016908073949327893,S,Third,man,True,Unknown,Southampton,no,False,3
0,1,male,0.481549252820982,0,0,0.020494635090094415,S,Second,man,True,Unknown,Southampton,no,True,1
0,2,female,0.2375724306190912,5,2,0.09154270340242172,S,Third,woman,False,Unknown,Southampton,no,False,8
0,1,male,0.3138151875571821,0,0,0.1434624456306609,S,Second,man,True,Unknown,Southampton,no,True,1
0,2,male,0.3900579444952729,1,0,0.028212719478023115,C,Third,man,True,Unknown,Cherbourg,no,False,2
1,2,male,0.481549252820982,0,0,0.11027245763075773,S,Third,man,True,Unknown,Southampton,yes,True,1
0,2,male,0.37480939310765476,0,0,0.014931805565640218,S,Third,man,True,F,Southampton,no,True,1
0,2,male,0.4205550472705093,0,0,0.015411575213749286,S,Third,man,True,Unknown,Southampton,no,True,1
